INFO buildroot.py:497:  Mock Version: 3.0
DEBUG util.py:445:  libverto-0.3.0-5.el8.x86_64
DEBUG util.py:445:  openssl-libs-1.1.1k-6.el8_5.x86_64
DEBUG util.py:445:  ca-certificates-2021.2.50-80.0.el8_4.noarch
DEBUG util.py:445:  krb5-libs-1.18.2-14.el8.x86_64
DEBUG util.py:445:  libblkid-2.32.1-35.el8.x86_64
DEBUG util.py:445:  systemd-libs-239-58.el8.x86_64
DEBUG util.py:445:  platform-python-setuptools-39.2.0-6.el8.noarch
DEBUG util.py:445:  python3-libs-3.6.8-45.el8.x86_64
DEBUG util.py:445:  gcc-8.5.0-10.el8.x86_64
DEBUG util.py:445:  cracklib-2.9.6-15.el8.x86_64
DEBUG util.py:445:  shadow-utils-4.6-16.el8.x86_64
DEBUG util.py:445:  tpm2-tss-2.3.2-4.el8.x86_64
DEBUG util.py:445:  libpwquality-1.4.4-3.el8.x86_64
DEBUG util.py:445:  annobin-10.29-3.el8.x86_64
DEBUG util.py:445:  glib2-2.56.4-158.el8.x86_64
DEBUG util.py:445:  libfdisk-2.32.1-35.el8.x86_64
DEBUG util.py:445:  openldap-2.4.46-18.el8.x86_64
DEBUG util.py:445:  libcurl-7.61.1-22.el8.x86_64
DEBUG util.py:445:  libdb-utils-5.3.28-42.el8_4.x86_64
DEBUG util.py:445:  rpm-4.14.3-23.el8.x86_64
DEBUG util.py:445:  efi-srpm-macros-3-3.el8.noarch
DEBUG util.py:445:  npth-1.5-4.el8.x86_64
DEBUG util.py:445:  gpgme-1.13.1-11.el8.x86_64
DEBUG util.py:445:  libatomic_ops-7.6.2-3.el8.x86_64
DEBUG util.py:445:  guile-2.0.14-7.el8.x86_64
DEBUG util.py:445:  gdb-headless-8.2-18.el8.x86_64
DEBUG util.py:445:  wget-1.19.5-10.el8.x86_64
DEBUG util.py:445:  gcc-c++-8.5.0-10.el8.x86_64
DEBUG util.py:445:  vim-minimal-8.0.1763-16.el8_5.13.x86_64
DEBUG util.py:445:  buildsys-macros-el8-2.0-1.el8_3.noarch
DEBUG util.py:596:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/eurolinux-8-x86_64/root/installation-homedir
DEBUG package_manager.py:197:  ['/usr/bin/dnf', '--installroot', '/var/lib/mock/eurolinux-8-x86_64/root/', '-y', '--releasever', '8', '--setopt=deltarpm=False', '--allowerasing', '--disableplugin=local', '--disableplugin=spacewalk', '--disableplugin=versionlock', '--forcearch', 'x86_64', 'update']
DEBUG util.py:622:  child environment: None
DEBUG util.py:540:  Executing command: ['/usr/bin/dnf', '--installroot', '/var/lib/mock/eurolinux-8-x86_64/root/', '-y', '--releasever', '8', '--setopt=deltarpm=False', '--allowerasing', '--disableplugin=local', '--disableplugin=spacewalk', '--disableplugin=versionlock', '--forcearch', 'x86_64', 'update', '--setopt=tsflags=nocontexts'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/var/lib/mock/eurolinux-8-x86_64/root/installation-homedir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8', 'LC_MESSAGES': 'C.UTF-8'} and shell False
DEBUG util.py:443:  No matches found for the following disable plugin patterns: local, spacewalk, versionlock
DEBUG util.py:445:  EuroLinux Base OS prod x86_64                    17 kB/s | 3.0 kB     00:00    
DEBUG util.py:445:  EuroLinux Base OS prod x86_64                   4.8 MB/s |  14 MB     00:02    
DEBUG util.py:445:  EuroLinux AppStream prod x86_64                  18 kB/s | 3.5 kB     00:00    
